Date,AAPL,MSFT,GOOG,FB,AMZN
2019/05/15,190.92,126.02,1164.21,186.27,1871.15
2019/05/14,188.66,124.73,1120.44,180.73,1840.12
2019/05/13,185.72,123.35,1132.03,181.54,1822.68
2019/05/10,197.18,127.13,1164.27,188.34,1889.98
2019/05/09,200.72,125.5,1162.38,188.65,1899.87
2019/05/08,202.9,125.51,1166.27,189.54,1917.77
2019/05/07,202.86,125.52,1174.1,189.77,1921
2019/05/06,208.48,128.15,1189.39,193.88,1950.55
2019/05/03,211.75,128.9,1185.4,195.47,1962.46
2019/05/02,209.15,126.21,1162.61,192.53,1900.82
2019/05/01,210.52,127.88,1168.08,193.03,1911.52
2019/04/30,200.67,130.6,1188.48,193.4,1926.52
2019/04/29,204.61,129.77,1287.58,194.78,1938.43
2019/04/26,204.3,129.89,1272.18,191.49,1950.63
2019/04/25,205.28,129.15,1263.45,193.26,1902.25
2019/04/24,207.16,125.01,1256,182.58,1901.75
2019/04/23,207.48,125.44,1264.55,183.78,1923.77
2019/04/22,204.53,123.76,1248.84,181.44,1887.31
2019/04/18,203.86,123.37,1236.37,178.28,1861.69
2019/04/17,203.13,121.77,1236.34,178.78,1864.82
2019/04/16,199.25,120.77,1227.13,178.87,1863.04
2019/04/15,199.23,121.05,1221.1,179.65,1844.87
2019/04/12,198.87,120.95,1217.87,179.1,1843.06
2019/04/11,198.95,120.33,1204.62,177.51,1844.07
2019/04/10,200.62,120.19,1202.16,177.82,1847.33
2019/04/09,199.5,119.28,1197.25,177.58,1835.84
2019/04/08,200.1,119.93,1203.84,174.93,1849.86
2019/04/05,197,119.89,1207.15,175.72,1837.28
2019/04/04,195.69,119.36,1215,176.02,1818.86
2019/04/03,195.35,119.97,1205.92,173.54,1820.7
2019/04/02,194.02,119.19,1200.49,174.2,1813.98
2019/04/01,191.24,119.02,1194.43,168.7,1814.19
2019/03/29,189.95,117.94,1173.31,166.69,1780.75
2019/03/28,188.72,116.93,1168.49,165.55,1773.42
2019/03/27,188.47,116.77,1173.02,165.87,1765.7
2019/03/26,186.79,117.91,1184.62,167.68,1783.76
2019/03/25,188.74,117.66,1193,166.29,1774.26
2019/03/22,191.05,117.05,1205.5,164.34,1764.77
2019/03/21,195.09,120.22,1231.54,166.08,1819.26
2019/03/20,188.16,117.52,1223.97,165.44,1797.27
2019/03/19,186.53,117.65,1198.85,161.57,1761.85
2019/03/18,188.02,117.57,1184.26,160.47,1742.15
2019/03/15,186.12,115.91,1184.46,165.98,1712.36
2019/03/14,183.73,114.59,1185.55,170.17,1686.22
2019/03/13,181.71,114.5,1193.32,173.37,1690.81
2019/03/12,180.91,113.62,1193.2,171.92,1673.1
2019/03/11,178.9,112.83,1175.76,172.07,1670.62
2019/03/08,172.91,110.51,1142.32,169.6,1620.8
2019/03/07,172.5,110.39,1143.3,169.13,1625.95
2019/03/06,174.52,111.75,1157.86,172.51,1668.95
2019/03/05,175.53,111.7,1162.03,171.26,1692.43
2019/03/04,175.85,112.26,1147.8,167.37,1696.17
2019/03/01,174.97,112.53,1140.99,162.28,1671.73
2019/02/28,173.15,112.03,1119.92,161.45,1639.83
2019/02/27,174.87,112.17,1116.05,162.81,1641.09
2019/02/26,174.33,112.36,1115.13,164.13,1636.4
2019/02/25,174.23,111.59,1109.4,164.62,1633
2019/02/22,172.97,110.97,1110.37,161.89,1631.56
2019/02/21,171.06,109.41,1096.97,160.04,1619.44
2019/02/20,172.03,107.15,1113.8,162.56,1622.1
2019/02/19,170.93,108.17,1118.56,162.29,1627.58
2019/02/15,170.42,108.22,1113.65,162.5,1607.95
2019/02/14,170.8,106.9,1121.67,163.95,1622.65
2019/02/13,170.18,106.81,1120.16,164.07,1640
2019/02/12,170.89,106.89,1121.37,165.04,1638.01
2019/02/11,169.43,105.25,1095.01,165.79,1591
2019/02/08,170.41,105.67,1095.06,167.33,1588.22
2019/02/07,170.94,105.27,1098.71,166.38,1614.37
2019/02/06,174.24,106.03,1115.23,170.49,1640.26
2019/02/05,174.18,107.22,1145.99,171.16,1658.81
2019/02/04,171.25,105.74,1132.8,169.25,1633.31
2019/02/01,166.52,102.78,1110.75,165.71,1626.23
2019/01/31,166.44,104.43,1116.37,166.69,1718.73
2019/01/30,165.25,106.38,1089.06,150.42,1670.43
2019/01/29,154.68,102.94,1060.62,144.19,1593.88
2019/01/28,156.3,105.08,1070.08,147.47,1637.89
2019/01/25,157.76,107.17,1090.99,149.01,1670.57
2019/01/24,152.7,106.2,1073.9,145.83,1654.93
2019/01/23,153.92,106.71,1075.57,144.3,1640.02
2019/01/22,153.3,105.68,1070.52,147.57,1632.17
2019/01/18,156.82,107.71,1098.26,150.04,1696.2
2019/01/17,155.86,106.12,1089.9,148.3,1693.22
2019/01/16,154.94,105.38,1080.97,147.54,1683.78
2019/01/15,153.07,105.01,1077.15,148.95,1674.56
2019/01/14,150,102.05,1044.69,145.39,1617.21
2019/01/11,152.29,102.8,1057.19,143.8,1640.56
2019/01/10,153.8,103.6,1070.33,144.2,1656.22
2019/01/09,153.31,104.27,1074.66,144.23,1659.42
2019/01/08,150.75,102.8,1076.28,142.53,1656.58
2019/01/07,147.93,102.06,1068.39,138.05,1629.51
2019/01/04,148.26,101.93,1070.71,137.95,1575.39
2019/01/03,142.19,97.4,1016.06,131.74,1500.28
2019/01/02,157.92,101.12,1045.85,135.68,1539.13
2018/12/31,157.74,101.57,1035.61,131.09,1501.97
2018/12/28,156.23,100.39,1037.08,133.2,1478.02
2018/12/27,156.15,101.18,1043.88,134.52,1461.64
2018/12/26,157.17,100.56,1039.46,134.18,1470.9
2018/12/24,146.83,94.13,976.22,124.06,1343.96
2018/12/21,150.73,98.23,979.54,124.95,1377.45
2018/12/20,156.83,101.51,1009.41,133.4,1460.83
2018/12/19,160.89,103.69,1023.01,133.24,1495.08
2018/12/18,166.07,103.97,1028.71,143.66,1551.48
2018/12/17,163.94,102.89,1016.53,140.19,1520.91
2018/12/14,165.48,106.03,1042.1,144.06,1591.91
2018/12/13,170.95,109.45,1061.9,145.01,1658.38
2018/12/12,169.1,109.08,1063.68,144.5,1663.54
2018/12/11,168.63,108.59,1051.75,142.08,1643.24
2018/12/10,169.6,107.59,1039.55,141.85,1641.03
2018/12/07,168.49,104.82,1036.58,137.42,1629.13
2018/12/06,174.72,109.19,1068.73,139.63,1699.19
2018/12/04,176.69,108.52,1050.82,137.93,1668.4
2018/12/03,184.82,112.09,1106.43,141.09,1772.36
2018/11/30,178.58,110.89,1094.43,140.61,1690.17
2018/11/29,179.55,110.19,1088.3,138.68,1673.57
2018/11/28,180.94,111.12,1086.23,136.76,1677.75
2018/11/27,174.24,107.14,1044.41,135,1581.42
2018/11/26,174.62,106.47,1048.62,136.38,1581.33
2018/11/23,172.29,103.07,1023.88,131.73,1502.06
2018/11/21,176.78,103.11,1037.61,134.82,1516.73
2018/11/20,176.98,101.71,1025.76,132.43,1495.46
2018/11/19,185.86,104.62,1020,131.55,1512.29
2018/11/16,193.53,108.29,1061.49,139.53,1593.41
2018/11/15,191.41,107.28,1064.71,143.85,1619.44
2018/11/14,186.8,104.97,1043.66,144.22,1599.01
2018/11/13,192.23,106.94,1036.05,142.16,1631.17
2018/11/12,194.17,106.87,1038.63,141.55,1636.85
2018/11/09,204.47,109.57,1066.15,144.96,1712.43
2018/11/08,208.49,111.75,1082.4,147.87,1754.91
2018/11/07,209.95,111.96,1093.39,151.53,1755.49
2018/11/06,203.77,107.72,1055.81,149.94,1642.81
2018/11/05,201.59,107.51,1040.09,148.68,1627.8
2018/11/02,207.48,106.16,1057.79,150.35,1665.53
2018/11/01,222.22,105.92,1070,151.75,1665.53
2018/10/31,218.86,106.81,1076.77,151.79,1598.01
2018/10/30,213.3,103.73,1036.21,146.22,1530.42
2018/10/29,212.24,103.85,1020.08,142.09,1538.88
2018/10/26,216.3,106.96,1071.47,145.37,1642.81
2018/10/25,219.8,108.3,1095.57,150.95,1782.17
2018/10/24,215.09,102.32,1050.71,146.04,1664.2
2018/10/23,222.73,108.1,1103.69,154.39,1768.7
2018/10/22,220.65,109.63,1101.16,154.78,1789.3
2018/10/19,219.31,108.66,1096.46,154.05,1764.03
2018/10/18,216.02,108.5,1087.97,154.92,1770.72
2018/10/17,221.19,110.71,1115.69,159.42,1831.73
2018/10/16,222.15,111,1121.28,158.78,1819.96
2018/10/15,217.36,107.6,1092.25,153.52,1760.95
2018/10/12,222.11,109.57,1110.08,153.74,1788.61
2018/10/11,214.45,105.91,1079.32,153.35,1719.36
2018/10/10,216.36,106.16,1081.22,151.38,1755.25
2018/10/09,226.87,112.26,1138.82,157.9,1870.32
2018/10/08,223.77,110.85,1148.97,157.25,1864.42
2018/10/05,224.29,112.13,1157.35,157.33,1889.65
2018/10/04,227.99,112.79,1168.19,158.85,1909.42
2018/10/03,232.07,115.17,1202.95,162.43,1952.76
2018/10/02,229.28,115.15,1200.11,159.33,1971.31
2018/10/01,227.26,115.61,1195.31,162.44,2004.36
2018/09/28,225.74,114.37,1193.47,164.46,2003
2018/09/27,224.95,114.41,1194.64,168.84,2012.98
2018/09/26,220.42,113.98,1180.49,166.95,1974.85
2018/09/25,222.19,114.45,1184.65,164.91,1974.55
2018/09/24,220.79,114.67,1173.37,165.41,1934.36
2018/09/21,217.66,114.26,1166.09,162.93,1915.01
2018/09/20,220.03,113.57,1186.87,166.02,1944.3
2018/09/19,218.37,111.7,1171.09,163.06,1926.42
2018/09/18,218.24,113.21,1161.22,160.3,1941.05
2018/09/17,217.88,112.14,1156.05,160.58,1908.03
2018/09/14,223.84,113.37,1172.53,162.32,1970.19
2018/09/13,226.41,112.91,1175.33,161.36,1989.87
2018/09/12,221.07,111.71,1162.82,162,1990
2018/09/11,223.85,111.24,1177.36,165.94,1987.15
2018/09/10,218.33,109.38,1164.64,164.18,1939.01
2018/09/07,221.3,108.21,1164.83,163.04,1952.07
2018/09/06,223.1,108.74,1171.44,162.53,1958.31
2018/09/05,226.87,108.49,1186.48,167.18,1994.82
2018/09/04,228.36,111.71,1197,171.16,2039.51
2018/08/31,227.63,112.33,1218.19,175.73,2012.71
2018/08/30,225.03,111.95,1239.12,177.64,2002.38
2018/08/29,222.98,112.02,1249.3,175.9,1998.1
2018/08/28,219.7,110.26,1231.15,176.26,1932.82
2018/08/27,217.94,109.6,1241.82,177.46,1927.68
2018/08/24,216.16,108.4,1220.65,174.645,1905.39
2018/08/23,215.49,107.56,1205.38,172.9,1902.9
2018/08/22,215.05,107.06,1207.33,173.64,1904.9
